Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes,episode_num_in_season,episode_num_overall,directed_by,written_by,original_air_date,prod_code,us_viewers
1998,5,the one hundredth,22,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",Kevin Bright,8.8,3331,3,100,Kevin S. Bright,David Crane & Marta Kauffman,08/10/1998,467653,26820000
1998,5,the one where phoebe hates pbs,22,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,Shelley Jensen,8.3,2995,4,101,Shelley Jensen,Michael Curtis,18/10/1998,467654,24090000
1998,5,the one with the kips,22,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,Dana De Vally Piazza,8.8,3215,5,102,Dana DeVally Piazza,Scott Silveri,29/10/1998,467655,25870000
1998,5,the one with the yeti,22,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,Gary Halvorson,8.1,3001,6,103,Gary Halvorson,Alexa Junge,05/11/1998,467656,24990000
1998,5,the one where ross moves in,22,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,Gary Halvorson,8.4,3029,7,104,Gary Halvorson,Gigi McCreery & Perry Rein,12/11/1998,467657,24440000
1998,5,the one with all the thanksgivings,22,The gang remember and share with each other their worst Thanksgivings.,Kevin Bright,9.2,4261,8,105,Kevin S. Bright,Gregory S. Malins,19/11/1998,467659,23920000
1998,5,the one with ross's sandwich,22,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,Gary Halvorson,9.1,3913,9,106,Gary Halvorson,Ted Cohen & Andrew Reich,10/12/1998,467658,23030000
1998,5,the one with the inappropriate sister,22,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,Dana De Vally Piazza,8.2,2980,10,107,Dana DeVally Piazza,Shana Goldberg-Meehan,17/12/1998,467661,23670000
1999,5,the one with all the resolutions,22,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,Joe Regalbuto,9.1,3781,11,108,Joe Regalbuto,Story by: Brian BoyleTeleplay by: Suzie Villandry,07/01/1999,467660,27020000
1999,5,the one with chandler's work laugh,22,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,Kevin Bright,8.3,2949,12,109,Kevin S. Bright,Alicia Sky Varinaitis,21/01/1999,467663,24820000
1999,5,the one with joey's bag,22,"Phoebe's grandmother dies, and is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",Gail Mancuso,8.1,2959,13,110,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,04/02/1999,467662,24920000
1999,5,the one where everybody finds out,22,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",Michael Lembeck,9.7,8066,14,111,Michael Lembeck,Alexa Junge,11/02/1999,467664,27700000
1999,5,the one with the girl who hits joey,22,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,Kevin Bright,8.5,3125,15,112,Kevin S. Bright,Adam Chase,18/02/1999,467665,29310000
1999,5,the one with the cop,22,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",Andrew Tsao,8.6,3174,16,113,Andrew Tsao,Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery & Perry Rein,25/02/1999,467666,26020000
1999,5,the one with rachel's inadvertent kiss,22,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,Shelley Jensen,8.5,2977,17,114,Shelley Jensen,Andrew Reich & Ted Cohen,18/03/1999,467667,24480000
1999,5,the one where rachel smokes,22,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",Todd Holland,8,2898,18,115,Todd Holland,Michael Curtis,08/04/1999,467668,21880000
1999,5,the one where ross can't flirt,22,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",Gail Mancuso,8.7,3242,19,116,Gail Mancuso,Doty Abrams,22/04/1999,467669,20850000
1999,5,the one with the ride along,22,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,Gary Halvorson,8.3,2888,20,117,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,29/04/1999,467670,19630000
1999,5,the one with the ball,22,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",Gary Halvorson,8.5,3010,21,118,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,06/05/1999,467671,20920000
1999,5,the one with joey's big break,22,"Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",Gary Halvorson,8.3,2857,22,119,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,11/05/1999,467672,21280000
1999,5,the one in vegas: part 1,22,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,Kevin Bright,8.8,3282,23,120,Kevin S. Bright,Ted Cohen & Andrew Reich,20/05/1999,467673,25900000
1999,5,the one in vegas: part 2,22,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,Kevin Bright,9.1,3726,24,121,Kevin S. Bright,Gregory S. Malins & Scott Silveri,20/05/1999,467674,25900000
1999,6,the one after vegas,22,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,Kevin Bright,8.7,3175,1,122,Kevin S. Bright,Adam Chase,23/09/1999,225551,27740000
1999,6,the one where ross hugs rachel,22,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,Gail Mancuso,8.2,2883,2,123,Gail Mancuso,Shana Goldberg-Meehan,30/09/1999,225552,22950000
1999,6,the one with ross's denial,22,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,Gary Halvorson,8.2,2851,3,124,Gary Halvorson,Seth Kurland,07/10/1999,225553,21600000
1999,6,the one where joey loses his insurance,22,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",Gary Halvorson,8.5,2976,4,125,Gary Halvorson,Andrew Reich & Ted Cohen,14/10/1999,225554,21070000
1999,6,the one with joey's porsche,22,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",Gary Halvorson,8.2,2902,5,126,Gary Halvorson,Perry Rein & Gigi McCreery,21/10/1999,225555,22390000
1999,6,the one on the last night,22,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",David Schwimmer,8.5,2942,6,127,David Schwimmer,Scott Silveri,04/11/1999,225556,23590000
1999,6,the one where phoebe runs,22,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,Gary Halvorson,8.4,2959,7,128,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,11/11/1999,225557,22750000
1999,6,the one with ross' teeth,22,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,Gary Halvorson,8.5,3074,8,129,Gary Halvorson,Story by: Andrew Reich & Ted CohenTeleplay by: Perry Rein & Gigi McCreery,18/11/1999,225558,22140000
1999,6,the one where ross got high,22,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,Kevin Bright,9.2,4187,9,130,Kevin S. Bright,Gregory S. Malins,25/11/1999,225559,19170000
1999,6,the one with the routine,22,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",Kevin Bright,8.6,3139,10,131,Kevin S. Bright,Brian Boyle,16/12/1999,225561,22430000
2000,6,the one with the apothecary table,22,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",Kevin Bright,8.1,2892,11,132,Kevin S. Bright,Story by: Zachary RosenblattTeleplay by: Brian Boyle,06/01/2000,225560,22260000
2000,6,the one with the joke,22,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",Gary Halvorson,8.1,2829,12,133,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,13/01/2000,225562,22330000
2000,6,the one with rachel's sister,22,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",Gary Halvorson,8.2,2950,13,134,Gary Halvorson,Story by: Seth KurlandTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,03/02/2000,225563,24140000
2000,6,the one where chandler can't cry,22,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",Kevin Bright,8.6,2996,14,135,Kevin S. Bright,Andrew Reich & Ted Cohen,10/02/2000,225564,23820000
2000,6,the one that could have been,30,"When Rachel hears Barry and Mindy are getting divorced, the gang wonder how different their lives could have been.",Michael Lembeck,8.5,3097,15,136,Michael Lembeck,Gregory S. Malins & Adam Chase,17/02/2000,225565,25890000
2000,6,the one that could have been,30,The gang continue to think about how different their lives could have been.,Michael Lembeck,8.5,3037,16,137,Michael Lembeck,David Crane & Marta Kauffman,17/02/2000,225566,25890000
2000,6,the one with unagi,22,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,Gary Halvorson,9.1,4180,17,138,Gary Halvorson,Story by: Zachary RosenblattTeleplay by: Adam Chase,24/02/2000,225568,22210000
2000,6,the one where ross dates a student,22,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,Gary Halvorson,8.3,2870,18,139,Gary Halvorson,Seth Kurland,09/03/2000,225567,20520000
2000,6,the one with joey's fridge,22,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,Ben Weiss,8.3,2920,19,140,Ben Weiss,Story by: Seth KurlandTeleplay by: Gigi McCreery & Perry Rein,23/03/2000,225569,21460000
2000,6,the one with mac and c.h.e.e.s.e.,22,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,Kevin Bright,7.4,3096,20,141,Kevin S. Bright,Doty Abrams,13/04/2000,225575,18810000
2000,6,the one where ross meets elizabeth's dad,22,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",Michael Lembeck,8.6,3063,21,142,Michael Lembeck,Story by: David J. LaganaTeleplay by: Scott Silveri,27/04/2000,225570,20630000
2000,6,the one where paul's the man,22,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,Gary Halvorson,9,3578,22,143,Gary Halvorson,Story by: Brian CaldirolaTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,04/05/2000,225571,20010000
2000,6,the one with the ring,22,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,Gary Halvorson,8.6,2980,23,144,Gary Halvorson,Ted Cohen & Andrew Reich,11/05/2000,225572,20870000
2000,6,the one with the proposal,30,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,Kevin Bright,8.8,3065,24,145,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,18/05/2000,225573,30730000
2000,6,the one with the proposal,30,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",Kevin Bright,9.3,4186,5,146,Kevin S. Bright,Andrew Reich & Ted Cohen,18/05/2000,225574,30730000
2000,7,the one with monica's thunder,22,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.",Kevin Bright,8.4,3022,1,147,Kevin S. Bright,Story by: Wil CalhounTeleplay by: David Crane & Marta Kauffman,12/10/2000,226401,25540000
2000,7,the one with rachel's book,22,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",Michael Lembeck,8.3,2817,2,148,Michael Lembeck,Andrew Reich & Ted Cohen,12/10/2000,226402,27930000
2000,7,the one with phoebe's cookies,22,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",Gary Halvorson,8.1,2803,3,149,Gary Halvorson,Sherry Bilsing & Ellen Plummer,19/10/2000,226405,22720000
2000,7,the one with rachel's assistant,22,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",David Schwimmer,8.1,2820,4,150,David Schwimmer,Brian Boyle,26/10/2000,226403,22660000
2000,7,the one with the engagement picture,22,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",Gary Halvorson,8.1,2785,5,151,Gary Halvorson,Story by: Earl DavisTeleplay by: Patty Lin,02/11/2000,226404,24430000
2000,7,the one with the nap partners,22,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",Gary Halvorson,8.9,3369,6,152,Gary Halvorson,Brian Buckner & Sebastian Jones,09/11/2000,226406,22010000
2000,7,the one with ross's library book,22,Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the ...                See full summary »,David Schwimmer,8.5,2856,7,153,David Schwimmer,Scott Silveri,16/11/2000,226410,23730000
2000,7,the one where chandler doesn't like dogs,22,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",Kevin Bright,8.2,2772,8,154,Kevin S. Bright,Patty Lin,23/11/2000,226407,16570000
2000,7,the one with all the candy,22,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",David Schwimmer,8.1,2753,9,155,David Schwimmer,Wil Calhoun,07/12/2000,226408,21080000
2000,7,the one with the holiday armadillo,22,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",Gary Halvorson,8.5,3014,10,156,Gary Halvorson,Gregory S. Malins,14/12/2000,226409,23260000
2001,7,the one with all the cheesecakes,22,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,Gary Halvorson,8.6,2936,11,157,Gary Halvorson,Shana Goldberg-Meehan,04/01/2001,226412,24370000
2001,7,the one where they're up all night,22,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",Kevin Bright,8.7,2983,12,158,Kevin S. Bright,Zachary Rosenblatt,11/01/2001,226413,22860000
2001,7,the one where rosita dies,22,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,Stephen Prime,8.4,2819,13,159,Stephen Prime,Story by: Ellen Plummer & Sherry BilsingTeleplay by: Brian Buckner & Sebastian Jones,01/02/2001,226415,22240000
2001,7,the one where they all turn thirty,22,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,Ben Weiss,8.6,2976,14,160,Ben Weiss,Story by: Vanessa McCarthyTeleplay by: Ellen Plummer & Sherry Bilsing,08/02/2001,226411,22400000
2001,7,the one with joey's new brain,22,"Joey gets an opportunity to rejoin ""Days of Our Lives"" when his comatose character is implanted with the brain of a female character. Joey approaches her to get some advice on how to play ...                See full summary »",Kevin Bright,8.4,2896,15,161,Kevin S. Bright,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Andrew Reich & Ted Cohen,15/02/2001,226416,21750000
2001,7,the one with the truth about london,22,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",David Schwimmer,8.7,2961,16,162,David Schwimmer,Story by: Brian Buckner & Sebastian JonesTeleplay by: Zachary Rosenblatt,22/02/2001,226417,21220000
2001,7,the one with the cheap wedding dress,22,"Monica takes the other girls to an overpriced store to choose her wedding dress, briefing them as if they were in the military since bargain-hunters are far more ruthless then Rachel can ...                See full summary »",Kevin Bright,8.4,2758,17,163,Kevin S. Bright,Story by: Brian Buckner & Sebastian JonesTeleplay by: Andrew Reich & Ted Cohen,15/03/2001,226414,20840000
2001,7,the one with joey's award,22,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel ...                See full summary »,Gary Halvorson,8.4,2793,18,164,Gary Halvorson,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Brian Boyle,29/03/2001,226418,17810000
2001,7,the one with ross and monica's cousin,22,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,Gary Halvorson,8.7,3155,19,165,Gary Halvorson,Andrew Reich & Ted Cohen,19/04/2001,226421,16540000
2001,7,the one with rachel's big kiss,22,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,Gary Halvorson,8.4,2894,20,166,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,26/04/2001,226419,16300000
2001,7,the one with the vows,22,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",Gary Halvorson,7.5,2832,21,167,Gary Halvorson,Doty Abrams,03/05/2001,226424,15650000
2001,7,the one with chandler's dad,22,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,Kevin Bright,8.4,2822,22,168,Kevin S. Bright & Gary Halvorson,Story by: Gregory S. MalinsTeleplay by: Brian Buckner & Sebastian Jones,10/05/2001,226420,17230000
2001,7,the one with monica and chandler's wedding: part 1,22,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",Kevin Bright,8.9,3178,23,169,Kevin S. Bright,Gregory S. Malins,17/05/2001,226422,30050000
2001,7,the one with monica and chandler's wedding: part 2,22,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,Kevin Bright,9.2,3563,24,170,Kevin S. Bright,Marta Kauffman & David Crane,17/05/2001,226423,30050000
2001,8,the one after i do,22,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,Kevin Bright,8.7,3005,1,171,Kevin S. Bright,David Crane & Marta Kauffman,27/09/2001,227401,31700000
2001,8,the one with the red sweater,22,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",David Schwimmer,9.1,3470,2,172,David Schwimmer,Dana Klein Borkow,04/10/2001,227402,30040000
2001,8,the one where rachel tells...,22,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, ...                See full summary »",Sheldon Epps,8.7,2858,3,173,Sheldon Epps,Sherry Bilsing & Ellen Plummer,11/10/2001,227403,29200000
2001,8,the one with the videotape,22,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",Kevin Bright,9.3,4114,4,174,Kevin S. Bright,Scott Silveri,18/10/2001,227406,25580000
2001,8,the one with rachel's date,22,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on ...                See full summary »",Gary Halvorson,8.1,2703,5,175,Gary Halvorson,Brian Buckner & Sebastian Jones,25/10/2001,227404,25640000
2001,8,the one with the halloween party,22,Monica and Chandler are having a costume party for Halloween. Phoebe bumps into Ursula who is getting married in a week and invites her in return for Ursula's invitation for the wedding. ...                See full summary »,Gary Halvorson,8.5,2969,6,176,Gary Halvorson,Mark Kunerth,01/11/2001,227405,26960000
2001,8,the one with the stain,22,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.",Kevin Bright,7.9,2766,7,177,Kevin S. Bright,R. Lee Fleming Jr.,08/11/2001,227407,24240000
2001,8,the one with the stripper,22,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with ...                See full summary »",David Schwimmer,8.8,3082,8,178,David Schwimmer,Andrew Reich & Ted Cohen,15/11/2001,227408,26540000
2001,8,the one with the rumor,22,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",Gary Halvorson,9.3,5291,9,179,Gary Halvorson,Shana Goldberg-Meehan,22/11/2001,227410,24240000
2001,8,the one with monica's boots,22,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son.",Kevin Bright,8.1,2765,10,180,Kevin S. Bright,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,06/12/2001,227409,22440000
2001,8,the one with ross's step forward,22,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; Monica, Phoebe, and Chandler are addicted to Mrs. Pacman.",Gary Halvorson,8,2636,11,181,Gary Halvorson,Robert Carlock,13/12/2001,227411,23850000
2002,8,the one where joey dates rachel,22,Phoebe gives Chandler and Monica a late wedding present: the game Ms Pac-Man. Chandler plays it all day long to be better than Monica and Phoebe. Rachel misses dressing up for romantic ...                See full summary »,David Schwimmer,8.5,2871,12,182,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,10/01/2002,227412,25530000
2002,8,the one where chandler takes a bath,22,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,Ben Weiss,8.6,2800,13,183,Ben Weiss,Vanessa McCarthy,17/01/2002,227413,29240000
2002,8,the one with the secret closet,22,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside.",Kevin Bright,8.2,2654,14,184,Kevin S. Bright,Brian Buckner & Sebastian Jones,31/01/2002,227414,28640000
2002,8,the one with the birthing video,22,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video.",Kevin Bright,8.4,2643,15,185,Kevin S. Bright,Dana Klein Borkow,07/02/2002,227415,28640000
2002,8,the one where joey tells rachel,22,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she ...                See full summary »",Ben Weiss,8.3,2698,16,186,Ben Weiss,Andrew Reich & Ted Cohen,28/02/2002,227416,27520000
2002,8,the one with the tea leaves,22,Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with ...                See full summary »,Gary Halvorson,8.1,2674,17,187,Gary Halvorson,Story by: R. Lee Fleming Jr.Teleplay by: Steven Rosenhaus,07/03/2002,227417,26300000
2002,8,the one in massapequa,22,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,Gary Halvorson,8.2,2699,18,188,Gary Halvorson,Story by: Peter TibbalsTeleplay by: Mark Kunerth,28/03/2002,227418,22050000
2002,8,the one with joey's interview,22,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",Gary Halvorson,7.5,2804,19,189,Gary Halvorson,Doty Abrams,04/04/2002,227424,22590000
2002,8,the one with the baby shower,22,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",Kevin Bright,8.2,2699,20,190,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,25/04/2002,227421,22240000
2002,8,the one with the cooking class,22,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",Gary Halvorson,8.2,2690,21,191,Gary Halvorson,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,02/05/2002,227419,23970000
2002,8,the one where rachel is late,22,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,Gary Halvorson,8.3,2662,22,192,Gary Halvorson,Shana Goldberg-Meehan,09/05/2002,227420,24310000
2002,8,the one where rachel has a baby: part 1,22,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - ...                See full summary »",Kevin Bright,8.8,2906,23,193,Kevin S. Bright,Scott Silveri,16/05/2002,227422,34910000
2002,8,the one where rachel has a baby: part 2,22,"After Rachel gives birth to her baby, she must confront relationship issues around her.",Kevin Bright,8.9,3150,24,194,Kevin S. Bright,Marta Kauffman & David Crane,16/05/2002,227423,34910000
2002,9,the one where no one proposes,22,Rachel thinks that Joey has proposed to her. Monica and Chandler begin trying to have a baby.,Kevin Bright,8.6,2939,1,195,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,26/09/2002,175251,34010000
2002,9,the one where emma cries,22,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",Sheldon Epps,8.5,2957,2,196,Sheldon Epps,Dana Klein Borkow,03/10/2002,175252,28930000
