Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes,episode_num_in_season,episode_num_overall,directed_by,written_by,original_air_date,prod_code,us_viewers
1995,2,the one with the baby on the bus,22,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",Gail Mancuso,8.6,3822,6,30,Gail Mancuso,Betsy Borns,02/11/1995,457306,30200000
1995,2,the one where ross finds out,22,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",Peter Bonerz,9,4319,7,31,Peter Bonerz,Michael Borkow,09/11/1995,457307,30500000
1995,2,the one with the list,22,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",Mary Kay Place,8.5,3581,8,32,Mary Kay Place,David Crane & Marta Kauffman,16/11/1995,457308,32900000
1995,2,the one with phoebe's dad,22,"Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.",Kevin Bright,8,3444,9,33,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,14/12/1995,457309,27800000
1996,2,the one with russ,22,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,Thomas Schlamme,8,3591,10,34,Thomas Schlamme,Ira Ungerleider,04/01/1996,457311,32200000
1996,2,the one with the lesbian wedding,22,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,Thomas Schlamme,8.1,3524,11,35,Thomas Schlamme,Doty Abrams,18/01/1996,457312,31600000
1996,2,the one after the superbowl: part 1,22,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,Michael Lembeck,8.6,3723,12,36,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,28/01/1996,457313,52900000
1996,2,the one after the superbowl: part 2,22,"Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.",Michael Lembeck,8.8,3864,13,37,Michael Lembeck,Michael Borkow,28/01/1996,457314,52900000
1996,2,the one with the prom video,22,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,James Burrows,9.4,5736,14,38,James Burrows,Alexa Junge,01/02/1996,457310,33600000
1996,2,the one where ross and rachel... you know,22,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,Michael Lembeck,8.9,3928,15,39,Michael Lembeck,Michael Curtis & Gregory S. Malins,08/02/1996,457315,32900000
1996,2,the one where joey moves out,22,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,Michael Lembeck,8.6,3435,16,40,Michael Lembeck,Betsy Borns,15/02/1996,457316,31100000
1996,2,the one where eddie moves in,22,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.",Michael Lembeck,8.3,3407,17,41,Michael Lembeck,Adam Chase,22/02/1996,457317,30200000
1996,2,the one where dr. ramoray dies,22,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.",Michael Lembeck,8.5,3403,18,42,Michael Lembeck,Story by: Alexa JungeTeleplay by: Michael Borkow,21/03/1996,457318,30100000
1996,2,the one where eddie won't go,22,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.",Michael Lembeck,8.6,3495,19,43,Michael Lembeck,Michael Curtis & Gregory S. Malins,28/03/1996,457319,31200000
1996,2,the one where old yeller dies,22,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,Michael Lembeck,8.2,3295,20,44,Michael Lembeck,Story by: Michael Curtis & Gregory S. MalinsTeleplay by: Adam Chase,04/04/1996,457320,27400000
1996,2,the one with the bullies,22,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,Michael Lembeck,8.2,3337,21,45,Michael Lembeck,Brian Buckner & Sebastian Jones,25/04/1996,457321,24700000
1996,2,the one with the two parties,22,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.",Michael Lembeck,9,4151,22,46,Michael Lembeck,Alexa Junge,02/05/1996,457322,25500000
1996,2,the one with the chicken pox,22,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,Michael Lembeck,8.1,3360,23,47,Michael Lembeck,Brown Mandell,09/05/1996,457324,26100000
1996,2,the one with barry and mindy's wedding,22,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,Michael Lembeck,8.2,3335,24,48,Michael Lembeck,Story by: Ira UngerleiderTeleplay by: Brown Mandell,16/05/1996,457323,29000000
1996,3,the one with the princess leia fantasy,22,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,Gail Mancuso,8.4,3482,1,49,Gail Mancuso,Michael Curtis & Gregory S. Malins,19/09/1996,465251,26760000
1996,3,the one where no one's ready,22,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.",Gail Mancuso,9,4637,2,50,Gail Mancuso,Ira Ungerleider,26/09/1996,465252,26730000
1996,3,the one with the jam,22,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,Kevin Bright,8.1,3324,3,51,Kevin S. Bright,Wil Calhoun,03/10/1996,465253,25230000
1996,3,the one with the metaphorical tunnel,22,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,Steve Zuckerman,8.1,3199,4,52,Steve Zuckerman,Alexa Junge,10/10/1996,465254,26100000
1996,3,the one with frank jr.,22,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,Steve Zuckerman,8.1,3292,5,53,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,17/10/1996,465255,23250000
1996,3,the one with the flashback,22,"The gang remember the events three years ago, when several of them almost slept together.",Peter Bonerz,9.1,4291,6,54,Peter Bonerz,David Crane & Marta Kauffman,31/10/1996,465256,23270000
1996,3,the one with the race car bed,22,"Joey becomes a learning extension teacher in soap acting, and loves the respect from even more clueless kids. Monica chooses a ridiculously cheap bed from Janice's ex; Phoebe signs for her ...                See full summary »",Gail Mancuso,8.3,3238,7,55,Gail Mancuso,Seth Kurland,07/11/1996,465257,27360000
1996,3,the one with the giant poking device,22,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,Gail Mancuso,8.4,3258,8,56,Gail Mancuso,Adam Chase,14/11/1996,465258,28690000
