Character,Scene Count
Drew,1
Conductor,2
Poughkeepsie,1
Train,1
Thompson,3
Zoe,1
d,1
Date,5
Lisa,4
Bowmont,1
Alexander,1
Narrator,1
Schiff,1
Locksmith,1
before,1
Intern,2
also,1
Lennart,3
listen,1
Lowell,2
Mugger,1
look,2
positive,1
book,1
that,1
do,2
thought,2
VOICEOVER,1
ROB,4
ERICA,4
LIPSON,1
KIDS,1
JANITOR,2
DOCTOR,2
KID,2
GUARD,2
DAMME,4
SUSIE,3
TRAINER,1
ASSISTANT,2
DIRECTOR,1
FRIEND,2
STAR,1
ARTIST,1
Teleplay,1
say,3
Josh,2
Melissa,5
Nancy,4
Kyle,2
Raymond,1
Parker,4
Dan,4
Guests,1
Marc,2
Bitch,1
Bastard,1
Birth,1
Cliff,3
Sid,1
Cailin,2
Tommy,3
Manager,2
be,1
Robert,4
Drag,1
Helena,3
Policeman,2
Line,1
Waltham,11
D,1
Heston,1
Housekeeper,2
Paramedic,1
Miller,1
Grip,1
Stanley,1
Husband,1
Ken,2
Claudia,2
everyone,1
request,1
Waiters,1
exclaiming,1
Wendy,4
Others,2
singing,1
forth,1
case,1
around,1
Colonel,1
Librarian,1
Chip,5
Peter,1
Tony,1
kitchen,1
nanny,1
at,1
about,1
Wigglemunch,1
Grumpus,1
Rabbi,2
Jennifer,2
Lady,1
Realtor,2
machine,1
have,1
Intercom,2
Luisa,1
Minister,2
Agent,5
holidays,1
RTST,3
three,1
two,1
four,1
six,1
five,1
RADIO,1
PLANNER,1
MINDY,1
WINEBURG,1
BARRY,2
Burgin,2
Liam,2
Devon,1
Chatracus,1
Anchorwoman,1
advice,1
Marsha,1
Robbie,2
Oberman,2
Zellner,1
Campbell,1
Meet,1
Mackenzie,2
Rita,1
Tape,4
MOnica,1
lapse,2
discovered,1
tie,1
Steele,1
Paleontologist,1
Oberblau,1
ergaster,1
Hint,1
Karin,1
Stephanie,1
Meg,1
Melanie,2
Boyfriend,1
Back,1
Wesley,1
Hope,1
Remoray,2
Arthur,1
Harad,5
STRANGER,1
DUNCAN,3
RAHCEL,1
Walker,1
Secretary,1
Employee,3
E,1
12,1
Mac,1
Hilda,1
Tourist,1
Croupier,2
Dealer,2
Twin,2
Gambler,2
Lurker,2
Guard,2
Lillian,2
Shelley,2
Andrea,1
Dave,1
Annabelle,3
Feesen,1
Sebastian,1
Eldad,1
Patrick,1
Patron,1
Customers,1
LYNN,1
cute,1
MIKE,4
KEVIN,1
BILL,1
Joanne,2
Kiki,2
Pheebs,1
Matt,1
Courtney,1
Matthew,1
Conan,1
Treeger,8
GRANDMOTHER,2
theme,1
BEN,1
ERNIE,1
Cop,2
Saleswoman,1
children,1
Laura,3
Catherine,1
Bitsy,4
Theodore,3
parents,1
experience,1
animals,1
rich,1
Pees,1
Whitney,2
Vendor,1
Fergie,1
Felicity,2
Passenger,2
Minster,1
Jim,2
color,1
Cecilia,5
Lockhart,2
Dina,7
Writer,1
Fredrick,1
Perry,1
Hayley,3
roommate,1
Caitlin,4
Detector,1
Rick,2
Lambert,1
Officer,1
Potter,1
Simon,1
Styler,1
TERRY,1
TOGETHER,1
CAROLINE,1
BOYS,1
STEPHANIE,1
BUS,1
to,2
Sportscar,1
Will,2
Cleaner,3
Official,3
ESTELLE,1
MOVER,1
Megan,2
Cassie,5
Roommate,2
head,1
Olivia,1
Lassiter,1
actress,1
Chandlers,1
example,1
EVERYONE,1
BULLY,4
BUFFAY,1
FRANK,1
Paula,2
Alan,2
Lizzie,2
Franzblau,5
Janitor,1
